Game title,Rating,#Reviews,Discount%,Price,RegularPrice,ReleaseYear,Win,Linux,OSX,Time
Baldur's Gate 3,9/9,"641,489",-20%,"47,99€","59,99€","3 Aug, 2023",1,1,0,2025-12-02 01:59:49
Dead by Daylight,6/9,"566,339",-60%,"7,99€","19,99€","14 Jun, 2016",1,0,0,2025-12-02 01:59:49
HELLDIVERS™ 2,6/9,"710,695",-20%,"31,99€","39,99€","8 Feb, 2024",1,0,0,2025-12-02 01:59:49
Call of Duty®: Black Ops III,8/9,"136,735",-67%,"19,79€","59,99€","5 Nov, 2015",1,1,0,2025-12-02 01:59:49
Dead Space,8/9,"41,806",-75%,"14,99€","59,99€","27 Jan, 2023",1,0,0,2025-12-02 01:59:49
NBA 2K25,5/9,"13,440",-67%,"23,09€","69,99€","28 Oct, 2024",1,0,0,2025-12-02 01:59:49
Teardown,9/9,"97,488",-50%,"14,99€","29,99€","21 Apr, 2022",1,0,0,2025-12-02 01:59:49
Divinity: Original Sin 2 - Definitive Edition,9/9,"163,557",-70%,"13,49€","44,99€","14 Sep, 2017",1,1,0,2025-12-02 01:59:49
Project Zomboid,8/9,"270,036",-33%,"13,06€","19,50€","8 Nov, 2013",1,1,1,2025-12-02 01:59:49
Cult of the Lamb,9/9,"84,958",-50%,"11,49€","22,99€","11 Aug, 2022",1,1,0,2025-12-02 01:59:49
Foundation,8/9,"16,331",-25%,"25,49€","33,99€","31 Jan, 2025",1,0,0,2025-12-02 01:59:49
ARK: Survival Ascended,5/9,"62,664",-45%,"24,74€","44,99€","25 Oct, 2023",1,0,0,2025-12-02 01:59:49
Door Kickers 2: Task Force North,9/9,"8,067",-10%,"21,60€","24,00€","10 Feb, 2025",1,1,0,2025-12-02 01:59:49
Sackboy™: A Big Adventure,8/9,"1,940",-60%,"23,99€","59,99€","27 Oct, 2022",1,0,0,2025-12-02 01:59:49
Grand Theft Auto V,8/9,"1,790,807",,"29,98€",,"13 Apr, 2015",1,0,0,2025-12-02 01:59:49
Mafia Trilogy,8/9,"154,107",-77%,"14,93€","64,97€",,1,0,0,2025-12-02 01:59:49
Call of Duty®: Modern Warfare®,6/9,"17,856",-67%,"19,79€","59,99€","8 Mar, 2023",1,0,0,2025-12-02 01:59:49
Age of Wonders 4,8/9,"12,458",-36%,"31,99€","49,99€","2 May, 2023",1,0,0,2025-12-02 01:59:49
Risk of Rain 2,8/9,"206,084",-67%,"8,24€","24,99€","11 Aug, 2020",1,0,0,2025-12-02 01:59:49
The Lucky 7 Bundle,8/9,"27,225",-62%,"38,15€","99,57€",,1,0,0,2025-12-02 01:59:49
Dying Light 2: Stay Human Digital Extras Edition,6/9,"140,626",-67%,"23,09€","69,99€","27 Sep, 2024",1,0,0,2025-12-02 01:59:49
The Executive - Movie Industry Tycoon,7/9,29,-10%,"13,49€","14,99€","11 Feb, 2025",1,1,0,2025-12-02 01:59:49
Call of Duty®: Black Ops II,8/9,"20,567",-67%,"19,79€","59,99€","12 Nov, 2012",1,0,0,2025-12-02 01:59:49
LEGO® Star Wars™: The Skywalker Saga,8/9,"34,930",-80%,"9,99€","49,99€","5 Apr, 2022",1,0,0,2025-12-02 01:59:49
Borderlands 3,8/9,"111,987",-90%,"5,99€","59,99€","13 Mar, 2020",1,0,0,2025-12-02 01:59:49
Dying Light 2 Stay Human: Reloaded Edition,6/9,"140,610",-67%,"23,09€","69,99€","3 Feb, 2022",1,0,0,2025-12-02 01:59:50
Rain World,8/9,"30,882",-55%,"11,02€","24,50€","28 Mar, 2017",1,0,0,2025-12-02 01:59:50
Green Hell,8/9,"58,248",-67%,"6,92€","20,99€","5 Sep, 2019",1,0,0,2025-12-02 01:59:50
Spyro™ Reignited Trilogy,8/9,"12,113",-75%,"9,99€","39,99€","3 Sep, 2019",1,0,0,2025-12-02 01:59:50
Deep Rock Galactic,9/9,"265,507",-67%,"9,89€","29,99€","13 May, 2020",1,0,0,2025-12-02 01:59:50
SnowRunner - 4-Year Anniversary Edition,8/9,"35,897",,"75,35€",,,1,1,0,2025-12-02 01:59:50
Back 4 Blood,5/9,"50,292",-90%,"5,99€","59,99€","12 Oct, 2021",1,0,0,2025-12-02 01:59:50
Train Sim World® 5,8/9,"1,137",-60%,"17,99€","44,99€","17 Sep, 2024",1,0,0,2025-12-02 01:59:50
Content Warning,8/9,"51,366",-30%,"5,45€","7,79€","1 Apr, 2024",1,0,0,2025-12-02 01:59:50
Crusader Kings III: Collection,8/9,"91,486",,"171,09€",,,1,1,1,2025-12-02 01:59:50
